Name,POS,"Ht("")",Wt (lbs),40yd,40Z,BP,BPZ,"Vertical ("")",VZ,"Broad Jump("")",BJZ,Shuttle,SZ,3Cone,3CZ,TotZ,AvgZ,Rd,Pick,Rank,,GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Chickillo,DE,75.13,267,4.79,0.071125852,27,1.012908888,34.5,0.21363797,114,-0.118456609,4.25,0.459646428,7.17,0.262771345,1.901633874,0.316938979,6,212,204,,7,0,22,49,71,10.14285714,,15,0,316,278,594,39.6,,16,0,269,317,586,36.625,
Art Norman,DE,73,252,4.79,0.071125852,,,,,,,,,,,0.071125852,0.071125852,,,,,,,,,0,,,,,,,0,,,,,,,0,,
B.J. Dubose,DE,76,284,5.06,-0.831436685,26,0.849324468,,,,,,,,,0.017887783,0.008943891,6,193,187,,,,,,0,,,,,,,0,,,,,,,0,,
B.J. Larsen,DE,77,271,4.96,-0.497154264,,,,,,,,,,,-0.497154264,-0.497154264,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Blake Lueders,DE,77,260,4.89,-0.263156569,,,,,,,,,,,-0.263156569,-0.263156569,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Brian Mihalik,DE,81,288,4.96,-0.497154264,,,,,,,,,,,-0.497154264,-0.497154264,7,237,227,,,,,,0,,,,,,,0,,,15,191,0,90,281,18.73333333,
Caushaud Lyons,DE,76,285,4.96,-0.497154264,,,,,,,,,,,-0.497154264,-0.497154264,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Cedric Reed,DE,77.25,269,4.89,-0.263156569,22,0.194986787,,,,,,,,,-0.068169782,-0.034084891,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Corey Crawford,DE,77,283,5.01,-0.664295474,,,33,-0.142270839,110,-0.539452221,4.65,-1.113005814,7.64,-0.926277423,-3.385301772,-0.677060354,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Cory Morrissey,DE,76,260,4.86,-0.162871843,,,,,,,,,,,-0.162871843,-0.162871843,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Danielle Hunter,DE,77.13,252,4.57,0.806547179,25,0.685740047,,,,,,,,,1.492287226,0.746143613,3,88,87,,14,0,392,140,532,38,,16,0,600,57,657,41.0625,,16,0,772,78,850,53.125,
Deion Barnes,DE,76,260,4.75,0.204838821,,,,,,,,,,,0.204838821,0.204838821,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Deiontrez Mount,DE,77,243,4.84,-0.096015358,,,,,,,,,,,-0.096015358,-0.096015358,6,177,171,,4,0,47,22,69,17.25,,1,0,0,8,8,8,,7,0,44,142,186,26.57142857,
Diaheem Watkins,DE,75,256,4.94,-0.43029778,,,,,,,,,,,-0.43029778,-0.43029778,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Dylan Wynn,DE,74,270,4.92,-0.363441295,,,,,,,,,,,-0.363441295,-0.363441295,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Frank Clark,DE,74.88,271,4.79,0.071125852,19,-0.295766474,38.5,1.162728129,118,0.302539004,4.05,1.245972549,7.08,0.490461534,2.977060594,0.496176766,2,63,62,,15,0,323,8,331,22.06666667,,15,0,682,23,705,47,,16,0,740,23,763,47.6875,
Henry Anderson,DE,78.25,294,4.97,-0.530582506,,,30,-0.854088458,111,-0.434203318,4.19,0.695544264,7.2,0.186874615,-0.936455403,-0.187291081,3,93,92,,9,0,449,47,496,55.11111111,,11,0,308,46,354,32.18181818,,9,0,380,62,442,49.11111111,
James Rouse,DE,77,277,4.89,-0.263156569,,,,,,,,,,,-0.263156569,-0.263156569,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Jermauria Rasco,DE,75,259,4.84,-0.096015358,,,,,,,,,,,-0.096015358,-0.096015358,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Jordan Allen,DE,77,254,4.83,-0.062587116,,,,,,,,,,,-0.062587116,-0.062587116,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Jordan Williams,DE,76,287,4.96,-0.497154264,,,,,,,,,,,-0.497154264,-0.497154264,,,,,1,0,4,4,8,8,,,,,,0,,,1,0,11,16,27,27,
Juda Parker,DE,74,270,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Konrad Zagzebski,DE,75,278,4.92,-0.363441295,,,,,,,,,,,-0.363441295,-0.363441295,,,,,,,,,0,,,,,,,0,,,,,,,0,,
