Name,POS,"Ht("")",Wt (lbs),40yd,40Z,BP,BPZ,"Vertical ("")",VZ,"Broad Jump("")",BJZ,Shuttle,SZ,3Cone,3CZ,TotZ,AvgZ,Rd,Pick,Rank,,GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DaQuan Jones,DT,75.75,322,5.35,-2.032488603,25,0.693550115,27.5,-1.160482429,100,-1.609494706,4.78,-1.665927559,7.73,-1.193125656,-6.967968838,-1.16132814,4,112,107,,7,0,137,19,156,22.28571429,,16,0,671,93,764,47.75,,16,0,672,137,809,50.5625,,12,0,436,109,545,45.41666667,
Deandre Coleman,DT,76.75,314,5.12,-1.230922316,24,0.546687731,,,,,,,,,-0.684234585,-0.342117293,,,,,1,0,18,0,18,18,,4,0,73,18,91,22.75,,5,0,46,8,54,10.8,,6,0,129,20,149,24.83333333,
Dominique Easley,DT,73.75,288,4.93,-0.568758862,26,0.840412499,,,,,,,,,0.271653637,0.135826818,1,29,29,,11,0,262,21,283,25.72727273,,11,0,273,49,322,29.27272727,,16,0,471,24,495,30.9375,,,,,,0,,
Eathyn Manumaleuna,DT,74.25,296,5.16,-1.370325149,29,1.280999651,28,-1.04817233,100,-1.609494706,4.61,-0.977426132,7.78,-1.31673677,-5.041155437,-0.840192573,,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
Ego Ferguson,DT,74.88,315,4.98,-0.743012403,24,0.546687731,,,,,,,,,-0.196324672,-0.098162336,2,51,50,,16,0,312,9,321,20.0625,,4,0,105,18,123,30.75,,,,,,0,,,,,,,0,,
George Uko,DT,74.63,284,4.99,-0.777863111,18,-0.334486572,29.5,-0.711242034,110,-0.493156364,,,,,-2.316748082,-0.57918702,,,,,1,0,7,0,7,7,,,,,,0,,,,,,,0,,,,,,,0,,
Jay Bromley,DT,75.13,306,5.06,-1.021818068,26,0.840412499,33.5,0.187238755,104,-1.162959369,4.78,-1.665927559,7.92,-1.66284789,-4.485901632,-0.747650272,3,74,72,,8,0,112,31,143,17.875,,16,0,478,84,562,35.125,,15,0,247,17,264,17.6,,16,0,425,30,455,28.4375,
Justin Ellis,DT,73.5,334,5.27,-1.753682938,25,0.693550115,28,-1.04817233,91,-2.614199215,4.75,-1.544427307,7.81,-1.390903439,-7.657835114,-1.276305852,4,107,102,,16,0,622,13,635,39.6875,,12,0,361,14,375,31.25,,16,0,334,26,360,22.5,,16,0,462,71,533,33.3125,
Kaleb Ramsey,DT,75,293,,,36,2.309036338,,,,,,,,,2.309036338,2.309036338,7,243,195,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
Kelcy Quarles,DT,75.75,297,5.03,-0.917265943,27,0.987274883,23.5,-2.058963219,101,-1.497860872,,,,,-3.486815151,-0.871703788,,,,,2,0,22,3,25,12.5,,,,,,0,,,,,,,0,,,,,,,0,,
Kerry Hyder,DT,74.5,290,5.1,-1.1612209,20,-0.040761805,29.5,-0.711242034,108,-0.716424032,4.33,0.156576217,7.23,0.042985487,-2.430087067,-0.405014511,,,,,,,,,0,,,1,0,2,0,2,2,,16,0,658,48,706,44.125,,,,,,0,,
Khyri Thornton,DT,74.63,304,5.03,-0.917265943,28,1.134137267,29,-0.823552133,111,-0.381522529,4.76,-1.584927391,7.83,-1.440347884,-4.013478615,-0.668913102,3,85,81,,,,,,0,,,6,0,102,1,103,17.16666667,,13,0,306,39,345,26.53846154,,4,0,68,16,84,21,
Louis Nix,DT,74,331,5.42,-2.276443559,,,25.5,-1.609722824,104,-1.162959369,4.94,-2.313928902,8.29,-2.577570136,-9.94062479,-1.988124958,3,83,79,,,,,,0,,,4,0,22,16,38,9.5,,,,,,0,,,,,,,0,,
Mike Pennel,DT,76.25,332,5.23,-1.614280105,23,0.399825347,28.5,-0.935862232,101,-1.497860872,4.84,-1.908928063,7.94,-1.712292336,-7.26939826,-1.211566377,,,,,13,0,172,81,253,19.46153846,,16,0,287,59,346,21.625,,8,0,102,36,138,17.25,,16,0,303,125,428,26.75,
RaShede Hageman,DT,77.88,310,5.02,-0.882415235,32,1.721586803,35.5,0.63647915,113,-0.158254861,4.5,-0.531925209,7.87,-1.539236776,-0.753766129,-0.125627688,2,37,37,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
Robert Thomas,DT,73.25,327,5.26,-1.71883223,32,1.721586803,,,,,,,,,0.002754573,0.001377286,,,,,,,,,0,,,1,0,21,0,21,21,,8,0,68,5,73,9.125,,15,7,235,52,294,19.6,
Ryan Carrethers,DT,73.25,337,5.47,-2.4506971,32,1.721586803,26,-1.497412725,87,-3.060734552,4.6,-0.936926049,7.89,-1.588681222,-7.812864844,-1.302144141,5,165,151,,6,0,72,4,76,12.66666667,,14,0,218,65,283,20.21428571,,4,0,48,14,62,15.5,,,,,,0,,
Shamar Stephen,DT,76.88,309,5.25,-1.683981522,25,0.693550115,30.5,-0.486621837,102,-1.386227038,,,,,-2.863280281,-0.71582007,7,220,188,,16,0,404,14,418,26.125,,5,0,65,2,67,13.4,,16,0,551,117,668,41.75,,15,0,384,147,531,35.4,
Stephon Tuitt,DT,77.5,304,4.92,-0.533908154,31,1.574724419,,,,,,,,,1.040816264,0.520408132,2,46,45,,16,0,397,133,530,33.125,,14,0,873,118,991,70.78571429,,14,0,764,97,861,61.5,,12,0,570,88,658,54.83333333,
